volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.1,0.5,1,3,0.99,0.6465794288752793,79
0.14,0.65,3,3,0.97,0.6462044632208938,79
0.14,0.65,3,3,0.99,0.6462044632208938,79
0.14,0.65,3,3,0.98,0.6462044632208938,79
0.14,0.55,3,3,0.99,0.6458245223029205,79
0.14,0.55,3,3,0.97,0.6458245223029205,79
0.14,0.55,3,3,0.98,0.6458245223029205,79
0.12,0.5,2,3,0.97,0.6454499848278368,79
0.12,0.5,2,3,0.98,0.6454499848278368,79
0.12,0.5,2,3,0.99,0.6454499848278368,79
0.18,0.7,2,4,0.97,0.6453430878803074,79
0.18,0.7,2,4,0.99,0.6453430878803074,79
0.18,0.7,2,4,0.98,0.6453430878803074,79
0.12,0.7,1,4,0.97,0.6447003068179594,79
0.12,0.7,1,4,0.98,0.6447003068179594,79
0.12,0.7,1,4,0.99,0.6447003068179594,79
0.16,0.6,2,4,0.98,0.6438484762041262,79
0.16,0.6,2,4,0.97,0.6438484762041262,79
0.16,0.6,2,4,0.99,0.6438484762041262,79
0.14,0.7,3,3,0.99,0.6431545784745599,79
0.14,0.7,3,3,0.97,0.6431545784745599,79
0.14,0.7,3,3,0.98,0.6431545784745599,79
0.14,0.5,3,3,0.98,0.6422701490644526,79
0.14,0.5,3,3,0.97,0.6422701490644526,79
0.14,0.5,3,3,0.99,0.6422701490644526,79
0.12,0.65,1,4,0.98,0.6419166501841187,79
0.12,0.65,1,4,0.97,0.6419166501841187,79
0.12,0.65,1,4,0.99,0.6419166501841187,79
0.16,0.65,2,4,0.97,0.6409859959415064,79
0.16,0.65,2,4,0.98,0.6409859959415064,79
